Belgium_stock,Belgium-Luxembourg_stock,Luxembourg_stock
,2684120.0,
,2798130.0,
,2847478.0,
,2641407.0,
,2685510.0,
,2782000.0,
,2770000.0,
,2784000.0,
,2847000.0,
,2899000.0,
,2901000.0,
,2829000.0,
,2942000.0,
,3104000.0,
,3102000.0,
,3010711.0,
,3022000.0,
,3019000.0,
,3085000.0,
,3111000.0,
,3116000.0,
,3072000.0,
,3115000.0,
,3184000.0,
,3210000.0,
,3163000.0,
,3190000.0,
,3159000.0,
,3174000.0,
,3257000.0,
,3360000.0,
,3311000.0,
,3303000.0,
,3289000.0,
,3369000.0,
,3363000.0,
,3280000.0,
,3184000.0,
,3395000.0,
3041560.0,,205072.0
3037760.0,,205193.0
2891260.0,,197257.0
2778077.0,,189674.0
2738648.0,,186725.0
2698649.0,,185235.0
2669076.0,,183640.0
2649392.0,,191928.0
2605532.0,,195661.0
2600453.0,,196470.0
2593000.0,,198892.0
2560319.0,,192535.0
2484272.0,,188473.0
2454704.0,,193623.0
2477236.0,,198780.0
2503262.0,,201036.0
2501349.0,,201416.0
2385988.0,,202281.0
2398090.0,,194390.0
2373100.0,,192100.0
2335440.0,,190690.0
2310440.0,,187200.0
