Belgium_stock,Belgium-Luxembourg_stock,Luxembourg_stock,Netherlands_stock
,2684120.0,,3622588.0
,2798130.0,,3816942.0
,2847478.0,,3695185.0
,2641407.0,,3567379.0
,2685510.0,,3750629.0
,2782000.0,,3968471.0
,2770000.0,,4029806.0
,2784000.0,,4116287.0
,2847000.0,,3694000.0
,2899000.0,,3679000.0
,2901000.0,,3465000.0
,2829000.0,,3748000.0
,2942000.0,,4111000.0
,3104000.0,,4666000.0
,3102000.0,,4714000.0
,3010711.0,,4606000.0
,3022000.0,,4528000.0
,3019000.0,,4673000.0
,3085000.0,,4797000.0
,3111000.0,,5225857.0
,3116000.0,,5191497.0
,3072000.0,,5240687.0
,3115000.0,,5410889.0
,3184000.0,,5516243.0
,3210000.0,,5247651.0
,3163000.0,,5122950.0
,3190000.0,,4894841.0
,3159000.0,,4546000.0
,3174000.0,,4772000.0
,3257000.0,,4926000.0
,3360000.0,,5062000.0
,3311000.0,,4920000.0
,3303000.0,,4797000.0
,3289000.0,,4716000.0
,3369000.0,,4654000.0
,3363000.0,,4557000.0
,3280000.0,,4411000.0
,3184000.0,,4283000.0
,3395000.0,,4206000.0
3041560.0,,205072.0,4070000.0
3037760.0,,205193.0,4047000.0
2891260.0,,197257.0,3858000.0
2778077.0,,189674.0,3759000.0
2738648.0,,186725.0,3767000.0
2698649.0,,185235.0,3799000.0
2669076.0,,183640.0,3749000.0
2649392.0,,191928.0,3763000.0
2605532.0,,195661.0,3890000.0
2600453.0,,196470.0,3967600.0
2593000.0,,198892.0,3975190.0
2560319.0,,192535.0,3885350.0
2484272.0,,188473.0,3879250.0
2454704.0,,193623.0,3999220.0
2477236.0,,198780.0,4169000.0
2503262.0,,201036.0,4315000.0
2501349.0,,201416.0,4294000.0
2385988.0,,202281.0,4030000.0
2398090.0,,194390.0,3690000.0
2373100.0,,192100.0,3721000.0
2335440.0,,190690.0,3691000.0
2310440.0,,187200.0,3705000.0
