Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EL","Land use indicators","097","European Union (27)","7209","Share in Land area","6655","Land under perm. meadows and pastures","2000","2000","%","15.14","E","Estimated value"
"EL","Land use indicators","097","European Union (27)","7209","Share in Land area","6655","Land under perm. meadows and pastures","2001","2001","%","15.19","E","Estimated value"
"EL","Land use indicators","097","European Union (27)","7209","Share in Land area","6655","Land under perm. meadows and pastures","2002","2002","%","15.03","E","Estimated value"
"EL","Land use indicators","097","European Union (27)","7209","Share in Land area","6655","Land under perm. meadows and pastures","2003","2003","%","14.82","E","Estimated value"
"EL","Land use indicators","097","European Union (27)","7209","Share in Land area","6655","Land under perm. meadows and pastures","2004","2004","%","14.66","E","Estimated value"
"EL","Land use indicators","097","European Union (27)","7209","Share in Land area","6655","Land under perm. meadows and pastures","2005","2005","%","14.73","E","Estimated value"
"EL","Land use indicators","097","European Union (27)","7209","Share in Land area","6655","Land under perm. meadows and pastures","2006","2006","%","14.53","E","Estimated value"
"EL","Land use indicators","097","European Union (27)","7209","Share in Land area","6655","Land under perm. meadows and pastures","2007","2007","%","14.4","E","Estimated value"
"EL","Land use indicators","097","European Union (27)","7209","Share in Land area","6655","Land under perm. meadows and pastures","2008","2008","%","14.44","E","Estimated value"
"EL","Land use indicators","097","European Union (27)","7209","Share in Land area","6655","Land under perm. meadows and pastures","2009","2009","%","14.25","E","Estimated value"
"EL","Land use indicators","097","European Union (27)","7209","Share in Land area","6655","Land under perm. meadows and pastures","2010","2010","%","14.11","E","Estimated value"
"EL","Land use indicators","097","European Union (27)","7209","Share in Land area","6655","Land under perm. meadows and pastures","2011","2011","%","13.98","E","Estimated value"
"EL","Land use indicators","097","European Union (27)","7209","Share in Land area","6655","Land under perm. meadows and pastures","2012","2012","%","13.62","E","Estimated value"
"EL","Land use indicators","097","European Union (27)","7209","Share in Land area","6655","Land under perm. meadows and pastures","2013","2013","%","13.75","E","Estimated value"
"EL","Land use indicators","097","European Union (27)","7209","Share in Land area","6655","Land under perm. meadows and pastures","2014","2014","%","13.36","E","Estimated value"
"EL","Land use indicators","097","European Union (27)","7209","Share in Land area","6655","Land under perm. meadows and pastures","2015","2015","%","13.36","E","Estimated value"
"EL","Land use indicators","097","European Union (27)","7209","Share in Land area","6655","Land under perm. meadows and pastures","2016","2016","%","13.26","E","Estimated value"
"EL","Land use indicators","097","European Union (27)","7209","Share in Land area","6655","Land under perm. meadows and pastures","2017","2017","%","13.24","E","Estimated value"
"EL","Land use indicators","097","European Union (27)","7209","Share in Land area","6655","Land under perm. meadows and pastures","2018","2018","%","13.21","E","Estimated value"
"EL","Land use indicators","097","European Union (27)","7209","Share in Land area","6655","Land under perm. meadows and pastures","2019","2019","%","13.39","E","Estimated value"
"EL","Land use indicators","097","European Union (27)","7209","Share in Land area","6655","Land under perm. meadows and pastures","2020","2020","%","13.31","E","Estimated value"
